what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1293166480760
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1293166480760
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1293166480795
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1293166480837
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1293166480872
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1293166480948
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1293166480998
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1293166481035
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1293166481070
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1293166481070
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1293166481151
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1293166481152
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1293166481152
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1293166481152
os,sysinfo,,,"macosx",1293166481155
arch,sysinfo,,,"x86",1293166481155
ws,sysinfo,,,"cocoa",1293166481155
locale,sysinfo,,,"zh_CN",1293166481155
processors,sysinfo,,,"2",1293166481155
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293166481155
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1293166481155
java.specification.name,sysinfo,,,"Java Platform API Specification",1293166481155
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293166481155
java.specification.version,sysinfo,,,"1.6",1293166481155
java.vendor,sysinfo,,,"Apple Inc.",1293166481155
java.version,sysinfo,,,"1.6.0_22",1293166481155
java.vm.info,sysinfo,,,"mixed mode",1293166481155
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1293166481155
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293166481155
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293166481155
java.vm.specification.version,sysinfo,,,"1.0",1293166481155
java.vm.vendor,sysinfo,,,"Apple Inc.",1293166481155
java.vm.version,sysinfo,,,"17.1-b03-307",1293166481155
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1293166481563
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1293166482260
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482553
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482555
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482556
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482566
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482572
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482581
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482589
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482627
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482631
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482632
error,log,,,"Error validating /Users/jornel/develop/android-sdk-mac_86/tools/lib/devices.xml",1293166482634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1293166482768
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1293166484447
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1293166484514
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.300.v20100513-0845,"org.eclipse.jdt.apt.pluggable.core",1293166484539
